duns,line_item,year,value
890526015,Revenue from continuing operations ($000s),2024,"$30,013"
890526015,Revenue from continuing operations ($000s),2023,"$27,680"
890526015,Revenue from continuing operations ($000s),2022,"$23,821"
890526015,Revenue from continuing operations ($000s),2021,"$27,444"
890526015,Revenue from continuing operations ($000s),2020,"$39,415"
890526015,Revenue from continuing operations ($000s),2019,"$21,001"
890526015,Revenue from continuing operations ($000s),2018,"$18,731"
890526015,Revenue from continuing operations ($000s),2017,"$21,033"
890526015,Revenue from continuing operations ($000s),2016,"$21,097"
890526015,Revenue from continuing operations ($000s),2015,"$21,044"
890526015,Growth,2024,8.43%
890526015,Growth,2023,16.20%
890526015,Growth,2022,(13.20%)
890526015,Growth,2021,(30.37%)
890526015,Growth,2020,87.68%
890526015,Growth,2019,12.12%
890526015,Growth,2018,(10.94%)
890526015,Growth,2017,(0.30%)
890526015,Growth,2016,0.25%
890526015,Growth,2015,-
890526015,Cost of sales ($000s),2024,"($20,172)"
890526015,Cost of sales ($000s),2023,"($17,330)"
890526015,Cost of sales ($000s),2022,"($13,712)"
890526015,Cost of sales ($000s),2021,"($18,359)"
890526015,Cost of sales ($000s),2020,"($28,759)"
890526015,Cost of sales ($000s),2019,"($15,321)"
890526015,Cost of sales ($000s),2018,"($14,365)"
890526015,Cost of sales ($000s),2017,"($14,032)"
890526015,Cost of sales ($000s),2016,"($15,356)"
890526015,Cost of sales ($000s),2015,"($12,154)"
890526015,Gross profit ($000s),2024,"$9,841"
890526015,Gross profit ($000s),2023,"$10,350"
890526015,Gross profit ($000s),2022,"$10,109"
890526015,Gross profit ($000s),2021,"$9,085"
890526015,Gross profit ($000s),2020,"$10,656"
890526015,Gross profit ($000s),2019,"$5,680"
890526015,Gross profit ($000s),2018,"$4,366"
890526015,Gross profit ($000s),2017,"$7,001"
890526015,Gross profit ($000s),2016,"$5,741"
890526015,Gross profit ($000s),2015,"$8,889"
890526015,Other income ($000s),2024,$365
890526015,Other income ($000s),2023,-
890526015,Other income ($000s),2022,"$1,403"
890526015,Other income ($000s),2021,$429
890526015,Other income ($000s),2020,$8
890526015,Other income ($000s),2019,$25
890526015,Other income ($000s),2018,$198
890526015,Other income ($000s),2017,$13
890526015,Other income ($000s),2016,$0
890526015,Other income ($000s),2015,-
890526015,Administrative expenses ($000s),2024,($877)
890526015,Administrative expenses ($000s),2023,"($2,360)"
890526015,Administrative expenses ($000s),2022,"($2,338)"
890526015,Administrative expenses ($000s),2021,"($3,041)"
890526015,Administrative expenses ($000s),2020,"($2,328)"
890526015,Administrative expenses ($000s),2019,"($4,459)"
890526015,Administrative expenses ($000s),2018,"($2,030)"
890526015,Administrative expenses ($000s),2017,"($2,655)"
890526015,Administrative expenses ($000s),2016,"($2,027)"
890526015,Administrative expenses ($000s),2015,"($2,376)"
890526015,Finance costs ($000s),2024,($141)
890526015,Finance costs ($000s),2023,($117)
890526015,Finance costs ($000s),2022,($11)
890526015,Finance costs ($000s),2021,$0
890526015,Finance costs ($000s),2020,$0
890526015,Finance costs ($000s),2019,$0
890526015,Finance costs ($000s),2018,$0
890526015,Finance costs ($000s),2017,$0
890526015,Finance costs ($000s),2016,$0
890526015,Finance costs ($000s),2015,$0
890526015,Share of associate profits/(losses) ($000s),2024,
890526015,Share of associate profits/(losses) ($000s),2023,
890526015,Share of associate profits/(losses) ($000s),2022,
890526015,Share of associate profits/(losses) ($000s),2021,
890526015,Share of associate profits/(losses) ($000s),2020,-
890526015,Share of associate profits/(losses) ($000s),2019,-
890526015,Share of associate profits/(losses) ($000s),2018,-
890526015,Share of associate profits/(losses) ($000s),2017,-
890526015,Share of associate profits/(losses) ($000s),2016,-
890526015,Share of associate profits/(losses) ($000s),2015,-
890526015,Profit/(loss) from continuing operations before income tax ($000s),2024,"($1,059)"
890526015,Profit/(loss) from continuing operations before income tax ($000s),2023,($148)
890526015,Profit/(loss) from continuing operations before income tax ($000s),2022,"$1,345"
890526015,Profit/(loss) from continuing operations before income tax ($000s),2021,"($2,964)"
