duns,field,value
758061055,Physical Address,"577 BICKLEY ROAD, MADDINGTON, 6109, WA, Australia"
758061055,Phone,08 94525888
758061055,URL,rapidcrushing.com.au
758061055,DUNS,758061055
758061055,ACN,008945113
758061055,ABN,31008945113
758061055,Company Type,Private
758061055,Line of Business,PROVIDES CRUSHING AND SCREENING CONTRACTING SERVICES
758061055,Primary SIC,"1629 - Heavy Construction, Not Elsewhere Classified"
758061055,Import/Export,Neither
758061055,Registered Name,RAPID CRUSHING & SCREENING CONTRACTORS PTY LTD
758061055,Trading As,RAPID CRUSHING RAPID CRUSHING & SCREENING AUSTRALIA RAPID CRUSHING & SCREENING CONTRACTORS PTY LTD RAPID CRUSHING AUSTRALIA RAPID CRUSHING SCREENING RAPID SCREENS
758061055,Previous Entity Name,RAPID SCREENS CRUSHING & SCREENING CONTRACTORS PTY. LTD. RAPID SCREEN SALES & SERVICE PTY. LTD. LINKWAY PTY LTD
758061055,Postal Address,"PO Box 39, Maddington, 6989, WA, Australia"
758061055,ASIC Status,Registered
758061055,ASIC Company Type,Australian proprietary company
758061055,ASIC Company Class,Limited by shares
758061055,ASIC Company Sub-Class,Proprietary company
