duns,field,value
757041921,Physical Address,"LEVEL 4 93 MITCHELL STREET, DARWIN, 0800, NT, Australia"
757041921,Phone,08 89820000
757041921,URL,hilton.com
757041921,DUNS,757041921
757041921,ACN,129331317
757041921,Company Type,Private
757041921,Line of Business,OPERATION OF A HOTEL; INVESTMENT COMPANY
757041921,Primary SIC,7011 - Hotels and Motels
757041921,Import/Export,Neither
757041921,Registered Name,LUMILUX AUSTRALIA PTY LTD
757041921,Previous Entity Name,LUMILUX AUSTRALIA PTY LTD
757041921,Postal Address,"LEVEL 4 93 MITCHELL STREET, DARWIN, 0800, NT, Australia"
757041921,ASIC Status,Registered
757041921,ASIC Company Type,Australian proprietary company
757041921,ASIC Company Class,Limited by shares
757041921,ASIC Company Sub-Class,Proprietary company
