duns,field,value
753060920,Physical Address,"SUITE 3 LEVEL 1 26-28 HALL STREET, HAWTHORN EAST, 3123, VIC, Australia"
753060920,Phone,03 98623200
753060920,URL,thewarrantygroup.com.au
753060920,DUNS,753060920
753060920,ACN,005004446
753060920,ABN,37005004446
753060920,Company Type,Private
753060920,Line of Business,PROVIDES MARKETING AND ADMINISTRATION SERVICES; HOLDING COMPANY
753060920,Primary SIC,"7389 - Business Services, Not Elsewhere Classified"
753060920,Import/Export,Neither
753060920,Registered Name,THE WARRANTY GROUP AUSTRALASIA PTY LTD
753060920,Trading As,MARTEC AUTOMOTIVE CONSULTING The Warranty Group THE WARRANTY GROUP AUSTRALASIA PTY LTD
753060920,Previous Entity Name,AON WARRANTY GROUP PTY LTD COMBINED WARRANTY GROUP PTY LTD AON WARRANTY SERVICES AUSTRALASIA PTY LTD MARTEC AUTOMOTIVE CONSULTING PTY LTD MARTEC AUSTRALIA PTY. LTD. MARTEC (AUST.) PTY. LTD. CRASAG SERVICES PTY. LTD. AUTOMOTIVE PROTECTION SERVICES PTY. LTD.
753060920,Postal Address,"246, Balwyn, 3103, VIC, Australia"
753060920,ASIC Status,Registered
753060920,ASIC Company Type,Australian proprietary company
753060920,ASIC Company Class,Limited by shares
753060920,ASIC Company Sub-Class,Proprietary company
