duns,field,value
754367076,Physical Address,"LEVEL 12 2 SOUTHBANK BOULEVARD, SOUTHBANK, 3006, VIC, Australia"
754367076,Phone,03 90714592
754367076,URL,theice.com
754367076,DUNS,754367076
754367076,ACN,065179535
754367076,ABN,55065179535
754367076,Company Type,Private
754367076,Line of Business,PROVIDES FINANCIAL MARKET DATA AND FINANCIAL REPORTING SERVICES
754367076,Primary SIC,"6289 - Services Allied with the Exchange of Securities or Commodities, Not Elsewhere Classified"
754367076,Import/Export,Neither
754367076,Registered Name,ICE DATA SERVICES AUSTRALIA PTY LTD
754367076,Trading As,INTERACTIVE DATA AUSTRALIA P/L
754367076,Previous Entity Name,INTERACTIVE DATA (AUSTRALIA) PTY LTD FT INTERACTIVE DATA (AUSTRALIA) PTY LTD FINANCIAL TIMES INFORMATION AUSTRALIA PTY LIMITED FINANCIAL TIMES EXTEL AUSTRALIA PTY LIMITED MESHELFCO NO 175 PTY LIMITED
754367076,Postal Address,"LEVEL 12 2 SOUTHBANK BOULEVARD, SOUTHBANK, 3006, VIC, Australia"
754367076,ASIC Status,Registered
754367076,ASIC Company Type,Australian proprietary company
754367076,ASIC Company Class,Limited by shares
754367076,ASIC Company Sub-Class,Proprietary company
