duns,field,value
746473631,Physical Address,"LEVEL 12 255 GEORGE STREET, SYDNEY, 2000, NSW, Australia"
746473631,Phone,02 90993800
746473631,URL,advancednavigation.com.au
746473631,DUNS,746473631
746473631,ACN,156101549
746473631,ABN,49156101549
746473631,Company Type,Private
746473631,Line of Business,MANUFACTURE OF SEARCH AND NAVIGATION EQUIPMENT; HOLDING COMPANY
746473631,Primary SIC,"3812 - Search, Detection, Navigation, Guidance, Aeronautical and Nautical Systems and Instruments"
746473631,Import/Export,Both
746473631,Registered Name,ADVANCED NAVIGATION PTY. LTD.
746473631,Trading As,ADVANCED NAVIGATION
746473631,Postal Address,"LEVEL 12 255 GEORGE STREET, SYDNEY, 2000, NSW, Australia"
746473631,ASIC Status,Registered
746473631,ASIC Company Type,Australian proprietary company
746473631,ASIC Company Class,Limited by shares
746473631,ASIC Company Sub-Class,Proprietary company
