duns,field,value
756310678,Physical Address,"G Santos Ctr 60 Flinders St, Adelaide, 5000, SA, Australia"
756310678,Phone,08 81165000
756310678,URL,santos.com
756310678,DUNS,756310678
756310678,ACN,056937752
756310678,ABN,44056937752
756310678,Company Type,Private
756310678,Line of Business,Provides gas and oil exploration services
756310678,Primary SIC,1382 - Oil and Gas Field Exploration Services
756310678,Import/Export,Export
756310678,Registered Name,SANTOS (JPDA 91-12) PTY LTD.
756310678,Trading As,SANTOS JPDA 91-12 PTY LTD SANTOS ZOCA 91 12 PTY LTD
756310678,Previous Entity Name,SANTOS (JPDA 91-12) PTY LTD. SANTOS (JPDA 91-12) PTY LTD.
756310678,Postal Address,"2455, Adelaide, 5001, SA, Australia"
756310678,ASIC Status,Registered
756310678,ASIC Company Type,Australian proprietary company
756310678,ASIC Company Class,Limited by shares
756310678,ASIC Company Sub-Class,Proprietary company
