duns,field,value
744840620,Physical Address,"182 Old Logan Village Rd, Waterford, 4133, QLD, Australia"
744840620,Phone,07 32990822
744840620,URL,canterbury.qld.edu.au
744840620,DUNS,744840620
744840620,ACN,010575747
744840620,ABN,46010575747
744840620,Company Type,Publicly Unlisted
744840620,Line of Business,Operates as a primary and secondary schools
744840620,Primary SIC,8211 - Elementary and Secondary Schools
744840620,Import/Export,Neither
744840620,Registered Name,CANTERBURY COLLEGE LIMITED
744840620,Trading As,CANTERBURY COLLEGE CANTERBURY COLLEGE CANTABILE Canterbury College Taipans Tiny Taipans Swim Club
744840620,Previous Entity Name,COLLEGE OF THE GOOD SHEPHERD LIMITED
744840620,Postal Address,"182 Old Logan Village Road, Waterford, 4133, QLD, Australia"
744840620,ASIC Status,Registered
744840620,ASIC Company Type,Australian public company
744840620,ASIC Company Class,Limited by guarantee
744840620,ASIC Company Sub-Class,Unlisted public company - non profit
