duns,person_name,title,responsibilities
752192807,Elisabet Cecilia  Wreme,Director,Director
752192807,John Gerard  Van Ruth,Director,Director
752192807,Melissa Anne  Ralph,Director,Director
752192807,Scott John  Williams,Director,Director
752192807,David Geoffrey  Greig,Director,Director
752192807,Beverley Glenice  Wright,Director,Director
752192807,James Michael  Robins,Company Secretary,Company Secretary
752192807,Julia Katherine  Adlem,Company Secretary,Company Secretary
752192807,Ian Phillip  Whitehead,Director,Director
752192807,Karen   Brook,Human Resources Manager,Human Resources Decision Maker
752192807,Michael   Bell,Finance & Administration Manager,Financial Decision Maker
752192807,Lindsay   Haylock,Sales & Marketing Manager,"Marketing Decision Maker,Sales Decision Maker"
752192807,Robert   Kennedy,IT Manager,IT Decision Maker
752192807,James   Robins,Chief Executive Officer,Chief Executive Officer
