duns,person_name,title,responsibilities
756500054,Geoffrey James  Wilson,Director,Director
756500054,James Miller  Chirnside,Director,Director
756500054,Philippa Ann  Ryan,Director,Director
756500054,Matthew David  Pancino,Director,Director
756500054,Katherine Anne  Thorley,Director,Director
756500054,Linda   Kiriczenko,Company Secretary,Company Secretary
756500054,Jesse Michael  Hamilton,Company Secretary,Company Secretary
756500054,Angus Jack Rutherford Barker,Director,Director
756500054,Martyn   McCathie,Head Of Operations,"Human Resources Decision Maker,Operations Decision Maker"
756500054,James   McNamara,Head Of Corporate Affairs,Operations Decision Maker
756500054,Jesse   Hamilton,Chief Financial Officer,Financial Decision Maker
756500054,Alexandra   Hopper,Senior Communications Advisor,Marketing Decision Maker
